rank	bare	toned
1330	agutan	àgùtàn
1332	gọgọ	gọ̀gọ̀
1334	oji	ojì
1335	alapata	alápatà
1336	ṣẹgi	ṣẹ̀gi
1337	fitila	fìtílà
1340	awoko	àwòko
1341	abata	àbàtà
1342	eree	erèé
1343	afinihan	afinihàn
1349	ọganjọ	ọ̀gànjọ́
1350	rikiṣi	rìkíṣí
1351	afẹẹri	àfẹ́ẹ̀rí
1352	kọnkọ	kọ̀ǹkọ̀
1354	isansa	ìsáǹsá
1355	ejika	èjìká
1356	ladugbo	ládugbó
1357	oruka	òrùka
1358	ibantẹ	ìbàǹtẹ́
1359	ẹẹta	ẹẹ́ta
1360	bọti	bọ̀tí
1361	ibale	ìbálé
1362	elegede	elégédé
1363	aganran	agánrán
1364	afopina	àfòpiná
1365	edo	èdó
1366	agbalaaye	àgbáláayé
1367	sọrọsọrọ	sọ̀rọ̀sọ̀rọ̀
1368	waasu	wàásù
1370	aroko	àrokò
1372	yunifasiti	yunifásítì
1373	ooya	òòyà
1374	bia	bíà
1375	ogogoro	ògógóró
1376	ọmọwe	ọ̀mọ̀wé
1377	kaadi	káàdì
1378	muti	mutí
1379	sibi	sìbí
1381	eekanna	èékánná
1382	irinkerindo	ìrìnkèrindò
1383	parọwa	pàrọwà
1384	ominu	ominú
1385	aafin	ààfin
1388	ẹrẹja	ẹrẹ́jà
1391	gedegede	gédégédé
1392	lọbalọba	lọ́balọ́ba
1393	kọfi	kọfí
1394	agbẹgilere	agbẹ́gilére
1395	ṣanpọnna	ṣànpọ̀nná
1396	irẹpọ	ìrẹ́pọ̀
1398	laini	láìní
1399	pokunso	pokùnso
1400	oyi	òyì
1402	alubọsa	àlùbọ́sà
1406	fuyẹ	fúyẹ́
1408	aniyan	àníyàn
1410	awijare	àwíjàre
1411	balaga	bàlágà
1413	aala	ààlà
1415	obirikiti	òbìrìkìtì
1416	bode	bodè
1417	ojukoju	ojúkojú
1418	laasigbo	làásìgbò
1419	panda	páńda
1420	ifẹyinti	ìfẹ̀yìntì
1421	yanpọnyanrin	yánpọnyánrin
1422	igbekun	ìgbèkùn
1424	imọlara	ìmọ̀lára
1425	ilumọọka	ìlúmọ̀ọ́ká
1426	ajọsọ	àjọsọ
1428	nọmba	nọ́ḿbà
1429	idọti	ìdọ̀tí
