word	rtgs	tone	phonetics
ของขวัญ	khong-khwan	kɔ̌ɔng-kwǎn	khǒng-khwǎn
ของดี	khong-di	kɔ̌ɔng-dii	khǒng-di
ของฝาก	khong-fak	kɔ̌ɔng-fàak	khǒng-fàk
ของหวาน	khong-wan	kɔ̌ɔng-wǎan	khǒng-wǎn
ของเล่น	khong-len	kɔ̌ɔng-lên	khǒng-lên
ขอตัว	kho-tua	kɔ̌ɔ-dtuua	khǒ-tua
ขอทาน	kho-than	kɔ̌ɔ-taan	khǒ-than
ขอบ	khop	kɔ̀ɔp	khòp
ขอบคุณ	khop-khun	kɔ̀ɔp-kun	khòp-khun
ขอบพระคุณ	khop-phra-khun	kɔ̀ɔp-prá-kun	khòp-phrá-khun
ขอบฟ้า	khop-fa	kɔ̀ɔp-fáa	khòp-fá
ขอบใจ	khop-chai	kɔ̀ɔp-jai	khòp-chai
ขอยืม	kho-yuem	kɔ̌ɔ-yʉʉm	khǒ-yuem
ขอรับ	kho-rap	kɔ̌ɔ-ráp	khǒ-ráp
ขอร้อง	kho-rong	kɔ̌ɔ-rɔ́ɔng	khǒ-róng
ขอโทษ	kho-thot	kɔ̌ɔ-tôot	khǒ-thôt
ขอให้	kho-hai	kɔ̌ɔ-hâi	khǒ-hâi
ขัด	khat	kàt	khàt
ขัดขวาง	khat-khwang	kàt-kwǎang	khàt-khwǎng
ขัดขืน	khat-khuen	kàt-kʉ̌ʉn	khàt-khǔen
ขัดข้อง	khat-khong	kàt-kɔ̂ng	khàt-không
ขับ	khap	kàp	khàp
ขั้น	khan	kân	khân
ขั้นตอน	khan-ton	kân-dtɔɔn	khân-ton
ขา	kha	kǎa	khǎ
ขาด	khat	kàat	khàt
ขาย	khai	kǎai	khǎi
ขาว	khao	kǎao	khǎo
ขำ	kham	kǎm	khǎm
ขีด	khit	kìit	khìt
ขี่	khi	kìi	khì
ขี้	khi	kîi	khî
ขี้ขลาด	khi-khlat	kîi-klàat	khî-khlàt
ขี้อาย	khi-ai	kîi-aai	khî-ai
ขี้เกียจ	khi-kiat	kîi-gìiat	khî-kìat
ขี้เมา	khi-mao	kîi-mao	khî-mao
ขี้แพ้	khi-phae	kîi-pɛ́ɛ	khî-pháe
ขี้โกง	khi-kong	kîi-goong	khî-kong
ขี้โม้	khi-mo	kîi-móo	khî-mó
ขึ้น	khuen	kʉ̂n	khûen
ขุด	khut	kùt	khùt
ขุนนาง	khun-nang	kǔn-naang	khǔn-nang
ขู่	khu	kùu	khù
ขโมย	kha-moi	kà-mooi	khà-moi
ข่มขืน	khom-khuen	kòm-kʉ̌ʉn	khòm-khǔen
ข่มขู่	khom-khu	kòm-kùu	khòm-khù
ข่าว	khao	kàao	khào
ข่าวลือ	khao-lue	kàao-lʉʉ	khào-lue
ข้อ	kho	kɔ̂ɔ	khô
ข้อความ	kho-khwam	kɔ̂ɔ-kwaam	khô-khwam
ข้อดี	kho-di	kɔ̂ɔ-dii	khô-di
ข้อตกลง	kho-tok-long	kɔ̂ɔ-dtòk-long	khô-tòk-long
ข้อผิดพลาด	kho-phit-phlat	kɔ̂ɔ-pìt-plâat	khô-phìt-phlât
ข้อมูล	kho-mun	kɔ̂ɔ-muun	khô-mun
ข้อศอก	kho-sok	kɔ̂ɔ-sɔ̀ɔk	khô-sòk
ข้อเท็จจริง	kho-thet-ching	kɔ̂ɔ-tét-jing	khô-thét-ching
ข้อเสนอ	kho-sa-noe	kɔ̂ɔ-sà-nə̌ə	khô-sà-nǒe
ข้อเสีย	kho-sia	kɔ̂ɔ-sǐia	khô-sǐa
ข้า	kha	kâa	khâ
ข้าง	khang	kâang	khâng
ข้างนอก	khang-nok	kâang-nɔ̂ɔk	khâng-nôk
ข้างบน	khang-bon	kâang-bon	khâng-bon
ข้างล่าง	khang-lang	kâang-lâang	khâng-lâng
ข้างหน้า	khang-na	kâang-nâa	khâng-nâ
ข้างหลัง	khang-lang	kâang-lǎng	khâng-lǎng
ข้างใน	khang-nai	kâang-nai	khâng-nai
ข้าพเจ้า	kha-pha-chao	kâa-pá-jâao	khâ-phá-châo
ข้าม	kham	kâam	khâm
ข้าราชการ	kha-rat-cha-kan	kâa-râat-chá-gaan	khâ-rât-chá-kan
ข้าว	khao	kâao	khâo
ข้าวกลางวัน	khao-klang-wan	kâao-glaang-wan	khâo-klang-wan
ข้าวเย็น	khao-yen	kâao-yen	khâo-yen
ข้าวโพด	khao-phot	kâao-pôot	khâo-phôt
ข้าศึก	kha-suek	kâa-sʉ̀k	khâ-sùek
ค.ศ.	kho-so	kɔɔ-sɔ̌ɔ	kho-sǒ
คง	khong	kong	khong
คงจะ	khong-cha	kong-jà	khong-chà
คงที่	khong-thi	kong-tîi	khong-thî
คณบดี	kha-na-bo-di	ká-ná-bɔɔ-dii	khá-ná-bo-di
คณะ	kha-na	ká-ná	khá-ná
คณะกรรมการ	kha-na-kam-ma-kan	ká-ná-gam-má-gaan	khá-ná-kam-má-kan
คณิตศาสตร์	kha-nit-ta-sat	ká-nít-dtà-sàat	khá-nít-tà-sàt
คดี	kha-di	ká-dii	khá-di
คน	khon	kon	khon
คนขับ	khon-khap	kon-kàp	khon-khàp
คนงาน	khon-ngan	kon-ngaan	khon-ngan
คนดำ	khon-dam	kon-dam	khon-dam
คนดู	khon-du	kon-duu	khon-du
คนทำความสะอาด	khon-tham-khwam-sa-at	kon-tam-kwaam-sà-àat	khon-tham-khwam-sà-àt
คนบาป	khon-bap	kon-bàap	khon-bàp
คนรัก	khon-rak	kon-rák	khon-rák
คนร้าย	khon-rai	kon-ráai	khon-rái
คนเดียว	khon-diao	kon-diao	khon-diao
คนแคระ	khon-khrae	kon-krɛ́	khon-khráe
คนแปลกหน้า	khon-plaek-na	kon-bplɛ̀ɛk-nâa	khon-plàek-nâ
คนโกหก	khon-ko-hok	kon-goo-hòk	khon-ko-hòk
คนโง่	khon-ngo	kon-ngôo	khon-ngô
คนใช้	khon-chai	kon-chái	khon-chái
คนไข้	khon-khai	kon-kâi	khon-khâi
คม	khom	kom	khom
ครบ	khrop	króp	khróp
ครบรอบ	khrop-rop	króp-rɔ̂ɔp	khróp-rôp
ครอบครัว	khrop-khrua	krɔ̂ɔp-kruua	khrôp-khrua
ครอบคลุม	khrop-khlum	krɔ̂ɔp-klum	khrôp-khlum
ครับ	khrap	kráp	khráp
ครับผม	khrap-phom	kráp-pǒm	khráp-phǒm
ครัว	khrua	kruua	khrua
ครัวซองต์	khrua-song	kruua-sɔng	khrua-song
ครั้ง	khrang	kráng	khráng
ครั้งหนึ่ง	khrang-nueng	kráng-nʉ̀ng	khráng-nùeng
ครั้งหน้า	khrang-na	kráng-nâa	khráng-nâ
ครั้งแรก	khrang-raek	kráng-rɛ̂ɛk	khráng-râek
คราง	khrang	kraang	khrang
คราบ	khrap	krâap	khrâp
คริกเก็ต	khrik-ket	krík-gèt	khrík-kèt
คริสต์	khrit	krít	khrít
คริสเตียน	khrit-sa-tian	krít-sà-dtiian	khrít-sà-tian
ครีม	khrim	kriim	khrim
ครีมกันแดด	khrim-kan-daet	kriim-gan-dɛ̀ɛt	khrim-kan-dàet
ครึ่ง	khrueng	krʉ̂ng	khrûeng
ครึ่งหนึ่ง	khrueng-nueng	krʉ̂ng-nʉ̀ng	khrûeng-nùeng
ครู	khru	kruu	khru
ครูฝึก	khru-fuek	kruu-fʉ̀k	khru-fùek
ครูใหญ่	khru-yai	kruu-yài	khru-yài
คร่ำครวญ	khram-khruan	krâm-kruuan	khrâm-khruan
คฤหาสน์	kha-rue-hat	ká-rʉ́-hàat	khá-rúe-hàt
คลอด	khlot	klɔ̂ɔt	khlôt
คลับ	khlap	klàp	khlàp
คลั่ง	khlang	klâng	khlâng
คลาน	khlan	klaan	khlan
คลาส	khlat	kláas	khlát
คลิก	khlik	klík	khlík
คลื่น	khluen	klʉ̂ʉn	khlûen
คลื่นไส้	khluen-sai	klʉ̂ʉn-sâi	khlûen-sâi
คลุมเครือ	khlum-khluea	klum-klʉʉa	khlum-khluea
คล่อง	khlong	klɔ̂ng	khlông
คล้าย	khlai	kláai	khlái
ควบคุม	khuap-khum	kûuap-kum	khûap-khum
ควร	khuan	kuuan	khuan
ควัน	khwan	kwan	khwan
ความ	khwam	kwaam	khwam
ความกลัว	khwam-klua	kwaam-gluua	khwam-klua
ความกล้า	khwam-kla	kwaam-glâa	khwam-klâ
ความกล้าหาญ	khwam-kla-han	kwaam-glâa-hǎan	khwam-klâ-hǎn
ความคิด	khwam-khit	kwaam-kít	khwam-khít
ความคิดสร้างสรรค์	khwam-khit-sang-san	kwaam-kít-sâang-sǎn	khwam-khít-sâng-sǎn
ความงาม	khwam-ngam	kwaam-ngaam	khwam-ngam
ความจริง	khwam-ching	kwaam-jing	khwam-ching
ความจำ	khwam-cham	kwaam-jam	khwam-cham
ความชั่วร้าย	khwam-chua-rai	kwaam-chûua-ráai	khwam-chûa-rái
ความชื้น	khwam-chuen	kwaam-chʉ́ʉn	khwam-chúen
ความช่วยเหลือ	khwam-chuai-luea	kwaam-chûai-lʉ̌ʉa	khwam-chûai-lǔea
ความซื่อสัตย์	khwam-sue-sat	kwaam-sʉ̂ʉ-sàt	khwam-sûe-sàt
ความดัน	khwam-dan	kwaam-dan	khwam-dan
ความดันโลหิต	khwam-dan-lo-hit	kwaam-dan-loo-hìt	khwam-dan-lo-hìt
ความดี	khwam-di	kwaam-dii	khwam-di
ความตั้งใจ	khwam-tang-chai	kwaam-dtâng-jai	khwam-tâng-chai
ความตาย	khwam-tai	kwaam-dtaai	khwam-tai
ความต้องการ	khwam-tong-kan	kwaam-dtɔ̂ng-gaan	khwam-tông-kan
ความถูกต้อง	khwam-thuk-tong	kwaam-tùuk-dtɔ̂ng	khwam-thùk-tông
ความทรงจำ	khwam-song-cham	kwaam-song-jam	khwam-song-cham
ความทรมาน	khwam-tho-ra-man	kwaam-tɔɔ-rá-maan	khwam-tho-rá-man
ความบริสุทธิ์	khwam-bo-ri-sut	kwaam-bɔɔ-rí-sùt	khwam-bo-rí-sùt
ความปรารถนา	khwam-prat-tha-na	kwaam-bpràat-tà-nǎa	khwam-pràt-thà-nǎ
ความปลอดภัย	khwam-plot-phai	kwaam-bplɔ̀ɔt-pai	khwam-plòt-phai
ความผิด	khwam-phit	kwaam-pìt	khwam-phìt
ความผิดพลาด	khwam-phit-phlat	kwaam-pìt-plâat	khwam-phìt-phlât
ความผิดหวัง	khwam-phit-wang	kwaam-pìt-wǎng	khwam-phìt-wǎng
ความฝัน	khwam-fan	kwaam-fǎn	khwam-fǎn
ความพยายาม	khwam-pha-ya-yam	kwaam-pá-yaa-yaam	khwam-phá-ya-yam
ความพร้อม	khwam-phrom	kwaam-prɔ́ɔm	khwam-phróm
ความมั่นคง	khwam-man-khong	kwaam-mân-kong	khwam-mân-khong
ความมั่นใจ	khwam-man-chai	kwaam-mân-jai	khwam-mân-chai
ความมืด	khwam-muet	kwaam-mʉ̂ʉt	khwam-mûet
ความยากจน	khwam-yak-chon	kwaam-yâak-jon	khwam-yâk-chon
ความยาว	khwam-yao	kwaam-yaao	khwam-yao
ความยุติธรรม	khwam-yut-ti-tham	kwaam-yút-dtì-tam	khwam-yút-tì-tham
ความรัก	khwam-rak	kwaam-rák	khwam-rák
ความรับผิดชอบ	khwam-rap-phit-chop	kwaam-ráp-pìt-chɔ̂ɔp	khwam-ráp-phìt-chôp
ความรุนแรง	khwam-run-raeng	kwaam-run-rɛɛng	khwam-run-raeng
ความรู้	khwam-ru	kwaam-rúu	khwam-rú
ความรู้สึก	khwam-ru-suek	kwaam-rúu-sʉ̀k	khwam-rú-sùek
