word	reading
أمضي	ʼamḍī
أمطار	ʼamṭār
أمطر	ʼamṭara
أمطرت	ʼamṭartu
أمعاء	ʼamʻāʼ
أمكن	ʼamkana
أمل	ʼamala
أملأ	ʼamlaʼ
أملاك	ʼamlāk
أملك	ʼamlak
أملى	ʼamlā
أملي	ʼammilī
أمم	ʼammama
أممت	ʼamamtu
أمن	ʼamuna
أمناء	ʼumanāʼ
أمنية	ʼumniyya
أمه	ʼamuh
أمهات	ʼummahāt
أمهل	ʼamhala
أموات	ʼamwāt
أموال	ʼamwāl
أموت	ʼamūtu
أمور	ʼumūr
أموري	ʼamūriyy
أمومة	ʼumūma
أمى	ʼammā
أمي	ʼummiyy
أميال	ʼamyāl
أمير	ʼamīr
أميرة	ʼamīra
أميركا	ʼamērikā
أميركي	ʼamērikiyy
أميز	ʼamyaz
أميل	ʼamyal
أمين	ʼamīn
أمينة	ʼamīna
أن	ʼan
أنا	ʼana
أنابيب	ʼanābīb
أنادى	ʼunādā
أناس	ʼunās
أناقة	ʼanāqa
أنام	ʼanāma
أناناس	ʼanānās
أناني	ʼanāniyy
أنانية	ʼanāniyya
أنباء	ʼanbāʼ
أنبوب	ʼunbūb
أنبوبة	ʼunbūba
أنة	ʼanna
أنت	ʼanta
أنتاركتيكا	ʼantārkitīkā
أنتج	ʼantaja
أنتظر	ʼantaẓiru
أنتم	ʼantum
أنتما	ʼantumā
أنتن	ʼantunna
